Term	Topic 0	Topic 1	Topic 2	Topic 3	Topic 4	Topic 5	Topic 6	Topic 7	Topic 8	Topic 9
0	parietal	time	speech	words	functional	cortex	cortex	repetition	cerebellar	cortex
1	spatial	stimulus	language	encoding	visual	prefrontal	parietal	priming	cerebellum	functional
2	superior	trials	sentences	word	spatial	response	parietal cortex	task	posterior	hand
3	superior parietal	event	hemisphere	memory	cortex	hippocampal	included	semantic	conditioning	somatosensory
4	information	cue	syntactic	successful	reading	active	non	repeated	motor	primary
5	using	trial	sentence	greater	visual cortex	time	cortex anterior	anterior	lobule	sequential
6	visually	transient	conditions	recognition	cortical	scanning	middle	reductions	bilaterally	healthy
7	lobe	event functional	suggesting	encoded	using	frontal cortex	inferior parietal	effects	deficits	motor
8	parietal lobule	interference	bilaterally	hippocampus	responses	lobe	motor	following	affected	sensorimotor
9	parietal lobe	reaction	normal	medial	v1	differential	posterior parietal	novel	expected	using
