feature	r
Neurosynth_TFIDF__bold	0.296837513409344
Neurosynth_TFIDF__painful	0.289815876948074
Neurosynth_TFIDF__insula	0.2820223607705055
Neurosynth_TFIDF__insular	0.280964878209768
Neurosynth_TFIDF__pain	0.2775965391845715
Neurosynth_TFIDF__level bold	0.2629136496799437
Neurosynth_TFIDF__operculum	0.2528510250307626
Neurosynth_TFIDF__sensations	0.2500617064885062
Neurosynth_TFIDF__insular cortex	0.2389122431590489
Neurosynth_TFIDF__target detection	0.2367009219204796
Neurosynth_TFIDF__anterior insula	0.2345642082318486
Neurosynth_TFIDF__applied	0.2313222299767019
Neurosynth_TFIDF__anterior	0.2248061377331732
Neurosynth_TFIDF__thalamus	0.2141995265040805
Neurosynth_TFIDF__modulations	0.2126548966796171
Neurosynth_TFIDF__reactions	0.2070851866025191
Neurosynth_TFIDF__secondary somatosensory	0.2068516163023905
Neurosynth_TFIDF__blood oxygen	0.2064389113476368
Neurosynth_TFIDF__oxygen level	0.2064389113476368
Neurosynth_TFIDF__frontal operculum	0.2038728285124324
Neurosynth_TFIDF__putamen	0.2032866007270263
Neurosynth_TFIDF__posterior insula	0.2030200715846485
Neurosynth_TFIDF__sustained	0.2018387823299554
Neurosynth_TFIDF__maintained	0.2017535340823079
Neurosynth_TFIDF__acquired	0.2009997945594647
Neurosynth_TFIDF__end	0.1976728856065544
Neurosynth_TFIDF__cortex anterior	0.1976721929402204
Neurosynth_TFIDF__described	0.1964539038290886
Neurosynth_TFIDF__ganglia	0.1961318893197033
Neurosynth_TFIDF__basal ganglia	0.1961318893197033
Neurosynth_TFIDF__ventrolateral prefrontal	0.1947157725295842
Neurosynth_TFIDF__bold signal	0.1939023239814139
Neurosynth_TFIDF__basal	0.1911156665789294
Neurosynth_TFIDF__preceding	0.1900726568306376
Neurosynth_TFIDF__subcortical	0.1884029731398652
Neurosynth_TFIDF__musical	0.1876328542712659
Neurosynth_TFIDF__opercular	0.1860601585600699
Neurosynth_TFIDF__midline	0.1840495186001748
Neurosynth_TFIDF__provided	0.1831639132025728
Neurosynth_TFIDF__muscle	0.182932920209989
Neurosynth_TFIDF__information	0.1817523400035398
Neurosynth_TFIDF__replicated	0.1803067267675508
Neurosynth_TFIDF__sustained attention	0.1775030670188508
Neurosynth_TFIDF__periods	0.1764349462144677
Neurosynth_TFIDF__faster	0.175816448293435
Neurosynth_TFIDF__cingulate	0.1747038702089346
Neurosynth_TFIDF__cingulate gyrus	0.1703824184778309
Neurosynth_TFIDF__subregions	0.1701314851231165
Neurosynth_TFIDF__target	0.1699359532714462
Neurosynth_TFIDF__ventrolateral	0.1690001454261256
Neurosynth_TFIDF__typically	0.1685675708880754
Neurosynth_TFIDF__anterior cingulate	0.1676027774958387
Neurosynth_TFIDF__systematic	0.1669937474718331
Neurosynth_TFIDF__cortical subcortical	0.1666768001742936
Neurosynth_TFIDF__blood	0.1666557521410726
Neurosynth_TFIDF__upcoming	0.1659860868675411
Neurosynth_TFIDF__grasping	0.1652924810614083
Neurosynth_TFIDF__task induced	0.1633108061194969
Neurosynth_TFIDF__secondary	0.1632675397946567
Neurosynth_TFIDF__anterior insular	0.1631633119379218
Neurosynth_TFIDF__cortical network	0.1625042966056727
Neurosynth_TFIDF__precentral gyrus	0.161969014060961
Neurosynth_TFIDF__highlights	0.1618014460404796
Neurosynth_TFIDF__prime	0.1617282109526938
Neurosynth_TFIDF__scores	0.1600762365163345
Neurosynth_TFIDF__oxygen	0.1595668969655061
Neurosynth_TFIDF__facilitation	0.1568380195265741
Neurosynth_TFIDF__combinations	0.1559176586544687
Neurosynth_TFIDF__resonance performing	0.155250785261461
Neurosynth_TFIDF__fine	0.1550578699191946
Neurosynth_TFIDF__phases	0.1535363340384644
Neurosynth_TFIDF__producing	0.1534316786187265
Neurosynth_TFIDF__force	0.152421521811206
Neurosynth_TFIDF__excessive	0.1518282105656113
Neurosynth_TFIDF__41	0.1499781140950477
Neurosynth_TFIDF__perceive	0.1490258487705029
Neurosynth_TFIDF__moderate	0.1487687159100568
Neurosynth_TFIDF__nociceptive	0.1479918770082478
Neurosynth_TFIDF__consciousness	0.1478343369477344
Neurosynth_TFIDF__unexpected	0.1478343369477344
Neurosynth_TFIDF__drug	0.1477350420920484
Neurosynth_TFIDF__detection task	0.1475867611542285
Neurosynth_TFIDF__produce	0.1455083394426239
Neurosynth_TFIDF__se	0.1449141892717325
Neurosynth_TFIDF__sound	0.144809661672628
Neurosynth_TFIDF__mechanisms underlying	0.1437839814101872
Neurosynth_TFIDF__anterior posterior	0.1432511775362555
Neurosynth_TFIDF__targets	0.1425905697435525
Neurosynth_TFIDF__randomized	0.1425798943627359
Neurosynth_TFIDF__coherent	0.1424652724322632
Neurosynth_TFIDF__foot	0.1416525294433311
Neurosynth_TFIDF__somatosensory cortex	0.1413699794328379
Neurosynth_TFIDF__recruit	0.1411558720871864
Neurosynth_TFIDF__motor	0.1410230030266238
Neurosynth_TFIDF__frequencies	0.1409261773709822
Neurosynth_TFIDF__biased	0.1405311919785467
Neurosynth_TFIDF__able	0.1400195655833735
