feature	mean	std
Neurosynth_TFIDF__reactions	0.2402557713740489	0.07225301062342974
Neurosynth_TFIDF__highlights	0.2389114445477738	0.0
Neurosynth_TFIDF__upcoming	0.2172693693433796	0.0
Neurosynth_TFIDF__sensations	0.21050381849639116	0.09724344056875388
Neurosynth_TFIDF__tpj	0.2046102935040229	0.0
Neurosynth_TFIDF__junction tpj	0.2046102935040229	0.0
Neurosynth_TFIDF__unexpected	0.20218853860411948	0.0
Neurosynth_TFIDF__consciousness	0.20218853860411948	0.0
Neurosynth_TFIDF__hyperactivity disorder	0.20069218770824704	0.0
Neurosynth_TFIDF__impulsivity	0.20069218770824704	0.0
Neurosynth_TFIDF__disorder adhd	0.20069218770824704	0.0
Neurosynth_TFIDF__attention deficit	0.20069218770824704	0.0
Neurosynth_TFIDF__adhd	0.20069218770824704	0.0
Neurosynth_TFIDF__deficit hyperactivity	0.20069218770824704	0.0
Neurosynth_TFIDF__involved cognitive	0.1961865283333946	0.0
Neurosynth_TFIDF__correction	0.19138971444837552	0.0
Neurosynth_TFIDF__sustained attention	0.18371254304952941	0.018475995554573132
Neurosynth_TFIDF__target detection	0.18227584212143355	0.10948874966631648
Neurosynth_TFIDF__lacking	0.178793081007039	0.0
Neurosynth_TFIDF__music	0.178793081007039	0.0
Neurosynth_TFIDF__alpha	0.178793081007039	0.0
Neurosynth_TFIDF__rich	0.178793081007039	0.0
Neurosynth_TFIDF__gyrus insula	0.17776966992597362	0.0
Neurosynth_TFIDF__insular cortex	0.17757889184014938	0.09839221869065784
Neurosynth_TFIDF__posterior insula	0.17591046638634963	0.09169211538352491
Neurosynth_TFIDF__painful	0.17448372401180176	0.08699108463536583
Neurosynth_TFIDF__task induced	0.17149445583685086	0.006257908341894575
Neurosynth_TFIDF__controls hc	0.17137858561122443	0.0
Neurosynth_TFIDF__hc	0.17137858561122443	0.0
Neurosynth_TFIDF__heart rate	0.16800276075065373	0.0
Neurosynth_TFIDF__heart	0.16800276075065373	0.0
Neurosynth_TFIDF__abuse	0.16800276075065373	0.0
Neurosynth_TFIDF__laboratory	0.16800276075065373	0.0
Neurosynth_TFIDF__occipital lobe	0.16800276075065373	0.0
Neurosynth_TFIDF__pressure	0.16777702406653705	0.0036015615447368976
Neurosynth_TFIDF__nociceptive	0.1674754851977139	0.056357662822187765
Neurosynth_TFIDF__recruit	0.16677984525261352	0.03391234245558883
Neurosynth_TFIDF__architecture	0.16584935126684336	0.0
Neurosynth_TFIDF__smokers	0.16523654749498068	0.0
Neurosynth_TFIDF__video clips	0.16417546252175438	0.0
Neurosynth_TFIDF__clips	0.16417546252175438	0.0
Neurosynth_TFIDF__interplay	0.16177682906524612	0.0
Neurosynth_TFIDF__illusion	0.15673153363547906	0.0
Neurosynth_TFIDF__anterior insular	0.15582087152406526	0.10213159493322782
Neurosynth_TFIDF__muscle	0.155450725558102	0.12876343888216962
Neurosynth_TFIDF__food	0.15433745109658953	0.06632715123419426
Neurosynth_TFIDF__loop	0.15417136363031267	0.0
Neurosynth_TFIDF__grasping	0.15189297452682138	0.059158613242148106
Neurosynth_TFIDF__insula anterior	0.1518432346618914	0.07395832949360792
Neurosynth_TFIDF__disruption	0.1518349888543701	0.012159176194279614
Neurosynth_TFIDF__anterior insula	0.15182918727899475	0.07413871777395371
Neurosynth_TFIDF__combinations	0.15166459173890698	0.02857561308372834
Neurosynth_TFIDF__midline	0.15114069889436543	0.09445976333287877
Neurosynth_TFIDF__psychophysiological interaction	0.15072156493052155	0.0
Neurosynth_TFIDF__psychophysiological	0.15072156493052155	0.0
Neurosynth_TFIDF__responds	0.1496089161065324	0.05500137739740122
Neurosynth_TFIDF__musical	0.1483023956048627	0.10836675930376141
Neurosynth_TFIDF__insular	0.14609814396331122	0.100735705514329
Neurosynth_TFIDF__pain	0.14556082413802232	0.10464970243480504
Neurosynth_TFIDF__43	0.1446393705178389	0.11231526484710017
Neurosynth_TFIDF__force	0.14431951503167006	0.05699128317060709
Neurosynth_TFIDF__naive	0.14389336014899254	0.025908841341010173
Neurosynth_TFIDF__immediate	0.14364072676944714	0.07151191800359034
Neurosynth_TFIDF__neurodegenerative	0.14309778163893758	0.04642601529673465
Neurosynth_TFIDF__relied	0.14180336208242206	0.08239551398805647
Neurosynth_TFIDF__ventral medial	0.141743837301429	0.053151805827323324
Neurosynth_TFIDF__detection task	0.1415277133164709	0.060660825287631635
Neurosynth_TFIDF__41	0.14073730855346253	0.0599656497123278
Neurosynth_TFIDF__scores	0.14006766875707868	0.13660788039048416
Neurosynth_TFIDF__psychopathology	0.1396758126601208	0.0
Neurosynth_TFIDF__advances	0.1396758126601208	0.0
Neurosynth_TFIDF__patient groups	0.1396758126601208	0.0
Neurosynth_TFIDF__modulations	0.1395208175305831	0.08034267218760091
Neurosynth_TFIDF__seeking	0.13904647551538446	0.0
Neurosynth_TFIDF__remembering	0.13901104387319524	0.0
Neurosynth_TFIDF__pathophysiological	0.13901104387319524	0.0
Neurosynth_TFIDF__run	0.1385947804530029	0.13015926726506422
Neurosynth_TFIDF__end	0.13710740142798136	0.10948440730099206
Neurosynth_TFIDF__level bold	0.1367764493700189	0.09156730216323725
Neurosynth_TFIDF__opercular	0.13642411571434157	0.08275550463857587
Neurosynth_TFIDF__primary secondary	0.13586270425733107	0.10464836537029679
Neurosynth_TFIDF__fine	0.13583107456651122	0.06410349712532572
Neurosynth_TFIDF__adopted	0.13556236484186662	0.13447669125573689
Neurosynth_TFIDF__susceptibility	0.13550750518737925	0.0699049969905105
Neurosynth_TFIDF__phenomena	0.134949767264361	0.0
Neurosynth_TFIDF__double blind	0.134949767264361	0.0
Neurosynth_TFIDF__maintained	0.13441420592311784	0.07987612074025811
Neurosynth_TFIDF__enabled	0.13425146476424657	0.044804081339175274
Neurosynth_TFIDF__underlying mechanisms	0.13388669260285826	0.0
Neurosynth_TFIDF__frontal operculum	0.13219212160808644	0.10201915188741487
Neurosynth_TFIDF__biased	0.13212472297237518	0.09013394829578875
Neurosynth_TFIDF__perceive	0.13185803129473764	0.10409499746175958
Neurosynth_TFIDF__respective	0.13176263225060444	0.08124497509667615
Neurosynth_TFIDF__33	0.13101692462036893	0.06341475218865303
Neurosynth_TFIDF__threatening	0.13095215924345274	0.0
Neurosynth_TFIDF__emotional responses	0.13095215924345274	0.0
Neurosynth_TFIDF__cognitive function	0.13085365474805277	0.05596438523909533
Neurosynth_TFIDF__share	0.13052407203018385	0.00807111466994772
Neurosynth_TFIDF__cortical subcortical	0.1302666467912605	0.09444373782043254
Neurosynth_TFIDF__randomized	0.13010303854088287	0.05404256225103822
Neurosynth_TFIDF__traumatic	0.1299896829274523	0.05095039362053081
Neurosynth_TFIDF__secondary somatosensory	0.12959811851525388	0.10116394165815104
Neurosynth_TFIDF__serve	0.12906033223431843	0.07554996126961518
Neurosynth_TFIDF__periods	0.12826460972312437	0.10634905284121166
Neurosynth_TFIDF__completely	0.12800907058786232	0.0
Neurosynth_TFIDF__inhibitory control	0.12800907058786232	0.0
Neurosynth_TFIDF__competition	0.12800907058786232	0.0
Neurosynth_TFIDF__excessive	0.1278489402498881	0.07789123419367537
Neurosynth_TFIDF__affects	0.12761881527357524	0.059199224713572855
Neurosynth_TFIDF__cingulate gyrus	0.12753949195715192	0.06899619947483696
Neurosynth_TFIDF__systematic	0.12751536188140306	0.08364306860244496
Neurosynth_TFIDF__drug	0.12749173466359787	0.06714633700602249
Neurosynth_TFIDF__young healthy	0.1272634889349341	0.036911973586866056
Neurosynth_TFIDF__memory load	0.12682219703019365	0.08015944055361016
Neurosynth_TFIDF__flexibly	0.12682073590141568	0.0
Neurosynth_TFIDF__s1	0.1265577351938947	0.10200730223808895
Neurosynth_TFIDF__operculum	0.12653650613344186	0.08795918119075531
Neurosynth_TFIDF__poor	0.1265159776251181	0.0952590409134069
Neurosynth_TFIDF__whilst	0.12650534542730182	0.03364526137555644
Neurosynth_TFIDF__fourteen	0.12632946971742526	0.051440200208467804
Neurosynth_TFIDF__preceding	0.12603301772666364	0.14900223885453284
Neurosynth_TFIDF__controls using	0.12568038503419549	0.0
Neurosynth_TFIDF__sensation	0.1254450704839562	0.07030316900877606
Neurosynth_TFIDF__single trial	0.12543202604476353	0.07118291450427412
Neurosynth_TFIDF__define	0.12541891581344283	0.07854079972074267
Neurosynth_TFIDF__recording	0.12503331329492157	0.07754098720385921
Neurosynth_TFIDF__documented	0.12481537520362741	0.052954294722265635
Neurosynth_TFIDF__best	0.12455405345509368	0.06314481747844698
Neurosynth_TFIDF__protocol	0.12425015490806975	0.10366815427480779
Neurosynth_TFIDF__regulation	0.12401240624368422	0.03302667662159182
Neurosynth_TFIDF__similarities	0.12393192697927952	0.13334922098476437
Neurosynth_TFIDF__cortical network	0.12382302874011634	0.09062981339911902
Neurosynth_TFIDF__se	0.1234895286151893	0.06273717791775255
Neurosynth_TFIDF__dorsal anterior	0.12320619060479966	0.00480287998310068
Neurosynth_TFIDF__using voxel	0.12258146327354374	0.09808313905724002
Neurosynth_TFIDF__noxious	0.12235396382799013	0.07426523118546147
Neurosynth_TFIDF__away	0.12202382561826841	0.014988021701783217
Neurosynth_TFIDF__prime	0.12192506520284216	0.10789342814457215
Neurosynth_TFIDF__multiple comparisons	0.12145530594041865	0.017591169574942278
Neurosynth_TFIDF__cortex anterior	0.12117724550993822	0.0914888902426607
Neurosynth_TFIDF__synchronization	0.11988815663049096	0.04800513418535147
Neurosynth_TFIDF__receive	0.11968511311674834	0.11722962383519497
Neurosynth_TFIDF__pitch	0.11893308954577456	0.01670734950361591
Neurosynth_TFIDF__producing	0.11881870254108699	0.12276543264159936
Neurosynth_TFIDF__enable	0.1185668279796166	0.08624272230887789
Neurosynth_TFIDF__varies	0.11834080610502212	0.0
Neurosynth_TFIDF__foot	0.11828813171285002	0.12412208812795954
Neurosynth_TFIDF__putamen	0.11802686970573308	0.07763090075327392
Neurosynth_TFIDF__algorithm	0.11790548816457036	0.07348422628383083
Neurosynth_TFIDF__motor premotor	0.11771931249358847	0.04370556309807832
Neurosynth_TFIDF__frequencies	0.11744104187269633	0.05799279777199873
Neurosynth_TFIDF__heschl gyrus	0.11668837812543398	0.068907247311927
Neurosynth_TFIDF__insula inferior	0.1165791926191859	0.0006424903523257336
